Nombre,Codigo
"EJECUCION HIPOTECARIA ", 14
"EJECUCION HONORARIOS ", 144
"EJECUCION LAUDO ARBITRAL ", 146
"EJECUCION MULTAS PROCESALES Y ASTREINTES ", 145
"EJECUCION PRENDARIA ", 15
"EJECUCION TRANSACCIONES O ACUERDOS HOMOLOGADOS ", 147
"ESCRITURACION ", 6
"EVICCION ", 84
"EXAMEN DE LOS LIBROS DEL SOCIO ", 175
"EXCLUSION DE HERENCIA ", 85
"EXEQUATUR ", 167
"EXHORTO ", 176
"EXPROPIACION DIRECTA ", 150
"EXPROPIACION INVERSA ", 151
"FIJACION HONORARIOS EXTRAJUDICIALES ", 134
"FIJACION HONORARIOS EXTRAJUDICIALES ", 154
"FIJACION PLAZO CUMPLIMIENTO OBLIGACION ", 119
"HABEAS DATA ", 281
"HABITACION-ACCIONES DERIVADAS ", 68
"HALLAZGO ", 177
"HOMOLOGACION DE CONVENIO ", 178
"HOMOLOGACION MEDIACION LEY 13.951 ", 415
"IMPUGNACION DE TESTAMENTO ", 86
"IMPUGNACION LAUDO ARBITRAL ", 652
"INCIDENTE (EXCEPTO LOS TIPIFICADOS EXPRESAMENTE) ", 189
"INCIDENTE CONCURSO/QUIEBRA(EXCEPTO VERIFICACION) ", 191
"INCIDENTE DE EJECUCION DE HONORARIOS ", 185
"INCIDENTE DE EJECUCION DE TASA DE JUSTICIA ", 286
"INCIDENTE DE REDARGUCION DE FALSEDAD ", 186
"INCIDENTE DE RENDICION DE CUENTAS ", 187
"INCIDENTE DE REVISION ", 188
"INCIDENTE DE VERIFICACION DE CREDITO ", 190
"INCIDENTE DETERMINACION DE DAÐOS ", 120
"INFORMACION SUMARIA CON EXPEDIENTE ", 179
"INSCRIPCION DE TESTAMENTO (EXHORTO/OFICIO) ", 193
"INSCRIPCION DECLARATORIA HEREDEROS(EXHORTO/OFICIO) ", 192
"INSCRIPCION EN EL REGISTRO AUTOMOTORES ", 168
"INTERVENCION JUDICIAL (GENERICA) ", 659
"INTERVENCION JUDICIAL (LEY 21526 T/S LEY 24485) ", 17
"INTERVENCION JUDICIAL FIDEICOMISO ", 660
"INTRUSION-ACCIONES DERIVADAS DE ", 103
"JUICIO AMIGABLES COMPONEDORES ", 156
"JUICIO ARBITRAL ", 155
"JUICIO PERICIAL - PERICIA ARBITRAL ", 157
"LICITACION DE BIENES ", 618
"LIQUIDACION ENTIDADES DE SEGUROS (LEY 20091) ", 18
"MATERIA A CATEGORIZAR ", 274
"MATERIA DE OTRO FUERO ", 275
"MEDIANERIA ", 8
"MEDIANERIA ", 87
"MEDIDAS CAUTELARES (TRABA/LEVANTAMIENTO) ", 169
"MEDIDAS URGENTES PROCESOS SUCESORIOS ", 653
"MEJORA U OBRA NUEVA EN PARTE COMUN -CONSORCIO- ", 632
"NULIDAD ACTO JURIDICO ", 55
"NULIDAD DE CONTRATO ", 1
"NULIDAD DE INSCRIPCION ", 69
"NULIDAD DE PARTICION DE HERENCIA ", 619
"NULIDAD DE TESTAMENTO ", 70
"NULIDAD ESCRITURA PUBLICA ", 56
"OBLIGACION DAR CANT. COSAS, VALORES, ETC. ", 121
"OFICIO ", 180
"PACTO DE INDIVISION ", 620
"PARTICION DE HERENCIA ", 621
"PERDIDA VOCACION HEREDITARIA ", 88
"PETICION DE HERENCIA ", 5
"PREHORIZONTALIDAD ", 657
"PRESCRIPCION ADQUISITIVA BREVE ", 633
"PRESCRIPCION ADQUISITIVA LARGA ", 634
"PRESCRIPCION ADQUISITIVA MUEBLES ", 123
"PROPIEDAD HORIZONTAL-CUESTIONES E/PROPIETARIOS ", 133
"PROPIEDAD INTELECTUAL-ACCIONES DERIV.DE LA LEY DE ", 149
"QUIEBRA (GRANDE) ", 20
"QUIEBRA(PEQUEÑA) ", 27
"RECLAMO C/ACTOS DE PARTICULARES(SUMARIO) ", 125
"RECLAMO CONTRA ACTOS DE PARTICULARES ", 11
"RECONOCIMIENTO DE MERCADERIAS ", 163
"RECONOCIMIENTO Y COMPENSACION MEJORAS ", 102
"RECTIFICACION ASIENTO REGISTRAL ", 182
"RECTIFICACION TITULO PROPIEDAD ", 183
"REEMBOLSO EMPLEO UTIL ", 622
"REFORMA DE PARTICION DE HERENCIA ", 623
"REGULACION HONORARIOS ", 184
"RENDICION DE CUENTAS (TRAM. ORDINARIO) ", 89
"RENDICION DE CUENTAS (TRAM. SUMARIO) ", 170
"RENOVACION INSCRIPCION REGISTRAL -LEASING- ", 640
"REPETICION SUMAS DE DINERO ", 90
"RESCISION DE CONTRATOS CIVILES/COMERCIALES ", 71
"RESOLUCION CONTRATO COMPRA/VENTA INMUEBLES ", 7
"RESOLUCION DE CONTRATOS CIVILES/COMERCIALES ", 72
"RESTRICCIONES Y LIMITES AL DOMINIO ", 126
"RETROCESION ", 152
"REVERSION DE LA DONACION ", 624
"REVISION DE COSA JUZGADA ", 73
"REVOCACION CONTRACTUAL ", 609
"SEGUNDO TESTIMONIO ", 174
"SERVIDUMBRE ", 635
"SIMULACION ", 57
"SOCIEDADES-ACCIONES DERIVADAS DE LA LEY DE ", 75
"SUCESION AB-INTESTATO ", 21
"SUCESION TESTAMENTARIA ", 22
"SUCESION VACANTE ", 23
"SUSTRACCION, PERDIDA ,DESTRUCCION LIBROS DE REGISTRO ", 647
"SUSTRACCION, PERDIDA ,DESTRUCCION TITULOS VALORES ", 648
"TERCERIA DOMINIO (TRAM. SUMARIO) ", 137
"TERCERIA DOMINIO(TRAM. ORDINARIO) ", 91
"TERCERIA MEJOR DERECHO (TRAM.SUMARIO) ", 138
"TERCERIA MEJOR DERECHO(TRAM. ORDINARIO) ", 92
"USO-ACCIONES DERIVADAS ", 76
"USUFRUCTO-ACCIONES DERIVADAS ", 77
"VENTA MERCADERIAS POR CUENTA DE TERCEROS ", 164
"VICIOS REDHIBITORIOS ", 93
